ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
3376889,"October 21, 2020 10:00:00 PM",2020,October,21,Wednesday,22,68,Flinders Ln -Degraves St (North),25,787,10,3
3174792,"May 30, 2020 08:00:00 PM",2020,May,30,Saturday,20,34,Flinders St-Spark La,12,3015,5,6
1594349,"August 20, 2016 08:00:00 PM",2016,August,20,Saturday,20,4,Town Hall (West),1757,66031,8,6
3960818,"October 30, 2021 07:00:00 PM",2021,October,30,Saturday,19,8,Webb Bridge,126,10114,10,6
3484331,"January 01, 2021 08:00:00 PM",2021,January,1,Friday,20,58,Bourke St - Spencer St (North),239,3666,1,5
3328467,"September 18, 2020 06:00:00 AM",2020,September,18,Friday,6,2,Bourke Street Mall (South),31,51884,9,5
1130904,"May 04, 2015 04:00:00 PM",2015,May,4,Monday,16,8,Webb Bridge,279,10114,5,1
2940628,"December 12, 2019 08:00:00 AM",2019,December,12,Thursday,8,7,Birrarung Marr,626,19635,12,4
3575343,"March 01, 2021 11:00:00 AM",2021,March,1,Monday,11,65,Swanston St - City Square,268,2073,3,1
999195,"November 29, 2014 05:00:00 AM",2014,November,29,Saturday,5,5,Princes Bridge,59,52415,11,6
1267379,"September 25, 2015 08:00:00 AM",2015,September,25,Friday,8,23,Spencer St-Collins St (South),1192,7263,9,5
2991009,"January 18, 2020 06:00:00 PM",2020,January,18,Saturday,18,36,Queen St (West),278,5556,1,6
1108876,"April 10, 2015 10:00:00 AM",2015,April,10,Friday,10,18,Collins Place (North),458,19958,4,5
3749421,"June 26, 2021 06:00:00 AM",2021,June,26,Saturday,6,58,Bourke St - Spencer St (North),59,3666,6,6
3378060,"October 22, 2020 05:00:00 PM",2020,October,22,Thursday,17,61,Swanston St - RMIT Building 14,202,2350,10,4
706139,"November 06, 2013 08:00:00 AM",2013,November,6,Wednesday,8,14,Sandridge Bridge,1099,22489,11,3
3052951,"March 04, 2020 08:00:00 AM",2020,March,4,Wednesday,8,19,Chinatown-Swanston St (North),168,9047,3,3
781489,"February 16, 2014 08:00:00 PM",2014,February,16,Sunday,20,11,Waterfront City,148,3858,2,7
1370606,"January 11, 2016 02:00:00 AM",2016,January,11,Monday,2,38,Flinders St-Swanston St (West),165,25944,1,1
1628943,"September 24, 2016 10:00:00 PM",2016,September,24,Saturday,22,40,Lonsdale St-Spring St (West),466,6131,9,6
815801,"April 04, 2014 07:00:00 AM",2014,April,4,Friday,7,18,Collins Place (North),895,19958,4,5
628029,"June 06, 2013 12:00:00 PM",2013,June,6,Thursday,12,8,Webb Bridge,661,10114,6,4
3921912,"October 07, 2021 12:00:00 PM",2021,October,7,Thursday,12,21,Bourke St-Russell St (West),255,19095,10,4
4197640,"March 14, 2022 02:00:00 PM",2022,March,14,Monday,14,21,Bourke St-Russell St (West),946,19095,3,1
2511435,"January 02, 2019 05:00:00 AM",2019,January,2,Wednesday,5,6,Flinders Street Station Underpass,102,53444,1,3
2061030,"December 15, 2017 02:00:00 PM",2017,December,15,Friday,14,5,Princes Bridge,2464,52415,12,5
1716084,"December 26, 2016 12:00:00 AM",2016,December,26,Monday,0,18,Collins Place (North),14,19958,12,1
2326954,"August 03, 2018 07:00:00 PM",2018,August,3,Friday,19,33,Flinders St-Spring St (West),409,3961,8,5
910529,"August 07, 2014 08:00:00 AM",2014,August,7,Thursday,8,21,Bourke St-Russell St (West),311,19095,8,4
1281879,"October 10, 2015 11:00:00 AM",2015,October,10,Saturday,11,32,City Square,1314,7715,10,6
597783,"March 28, 2013 04:00:00 AM",2013,March,28,Thursday,4,14,Sandridge Bridge,21,22489,3,4
